2;День рождения буржуя;Саня Шестипалый;13-04-1976 01:50:00
3;Спектакли;"Транссиб" в Театре "Практика", "Станиславский" - Кате и Талгату;25-05-2004 12:46:00
4;Сервисы бронирования жилья;sutochno.ru;29-03-2022 09:16:00
5;Мама;Бринтелликс (Vortioxitin) 2,5 мг, Кветиапин 1/2 таб. (на ночь);22-06-2021 10:17:00
6;VINES;Портвейн "Vinho do Porto", Messias, Porto Ruby, черная с красным бутылка;17-09-2023 16:57:00
7;Купить: ;Свекла, капуста, картошка, уксус, зелень, молоко, фарш;05-05-2002 13:56:00
8;Грипп "А";От жара - Ибуклин, от вируса - Осельтамивир (Тамифлю), остальное по симптоматике;15-08-2023 15:07:00
9;Грумеры;"Эйс-Вентура", Александр!!!;23-01-2024 16:16:00
10;Волосы;Средство для кудряшек: Catwalk by Tigi: Curls Rock Amplifier;08-12-2023 15:31:00
11;Fat Secret;;05-05-2002 10:17:00
12;Это бесполезно;It's useless;16-10-2000 15:57:00
13;Оксана Килина;Мир стопы: https://kilinaoxana.ru/worldofthefoot;07-01-2024 19:14:00
14;Машина;13.11.2023 VIN code:  W0H0THS234908723;03-11-1999 15:36:00
16;Себастьяша;Был голодный: проглотил утюг холодный;20-02-2024 18:28:08
